Complete,Date,Venue,City,Country,Notes,Bands,,,,,,,,,,,,,,,
y,5/29/2015,Showbox SoDo,Seattle,USA,,Apocalyptica,The Art of Dying,,,,,,,,,,,,,,
y,5/27/2015,Studio 7,Seattle,USA,,Amaranthe,I Prevail,,,,,,,,,,,,,,
,5/22/2015,The Gorge Ampithetre,????,USA,Sasquatch,Sisters,The New Pornographers,Gogol Bordello,Of Monsters and Men,Hunter Hunted,Benjamin Booker,Black Pistol Fire,The War on Drugs,Chromeo,,,,,,,
y,4/25/2015,Orpheum Theatre,Vancouver,Canada,DVD recorded,Nightwish,Sabaton,Delain,,,,,,,,,,,,,
y,3/27/2015,Neumos,Seattle,USA,,Of Montreal,Yip Deciever,,,,,,,,,,,,,,
y,3/7/2015,Showbox SoDo,Seattle,USA,,In Flames,All That Remains,WOVENWAR,,,,,,,,,,,,,
y,2/28/2015,Neumos,Seattle,USA,,Sandrider,Kinski,,,,,,,,,,,,,,
y,1/28/2015,El Corazon,Seattle,USA,,Periphery,Nothing More,WOVENWAR,,,,,,,,,,,,,
y,12/6/2015,Studio 7,Seattle,USA,,The Birthday Massacre,New Years Day,The Red Paintings,Rain Light Fade,Murder Weapons,,,,,,,,,,,
y,11/17/2014,Studio 7,Seattle,USA,,Animals as Leaders,Devin Townsend Project,Monuments,,,,,,,,,,,,,
y,10/31/2014,Studio 7,Seattle,USA,,White Chapel ,Upon a Burning Body,Glass Cloud,Never Met a Deadman,,,,,,,,,,,,
y,10/21/2014,Studio 7,Seattle,USA,,Deicide,Septic Flesh,Inquisition,Carach Angren,Gravenloch,Hereticon,,,,,,,,,,
y,10/15/2014,Paramount Theatre,Seattle,USA,,alt-J,,,,,,,,,,,,,,,
y,10/12/2014,Neptune,Seattle,USA,,Of Montreal,Pillar Point,,,,,,,,,,,,,,
y,10/7/2014,El Corazon,Seattle,USA,,Eluveitie,Tyr,,,,,,,,,,,,,,
y,9/30/2014,El Corazon,Seattle,USA,,Amon Amarth,Sabaton,Skeletonwitch,,,,,,,,,,,,,
y,9/25/2014,El Corazon,Seattle,USA,,Sonata Arctica,Xandria,Delain,,,,,,,,,,,,,
,6/19/2014,Live Club,Milan,Italy,Italy,Angra,????,,,,,,,,,,,,,,
y,3/6/2014,Clarion Hotel & Congress,Trondheim,Norway,Trondheim Metalfest,Behemoth,Devin Townsend Project,Triosphere,Benea Reach,In Mourning,Rising Dream,Orden Ogan,Keep of Kalessin,Tesseract,Caliban,Electric Wizard,At the Gates,Wolfheart,Mambo Kurt,Hour of Penance,Carach Angren
y,11/1/2013,Cedar Cultural Center,Minneapolis,USA,,Of Montreal,La Luz,,,,,,,,,,,,,,
y,10/16/2013,Skyway Theatre,Minneapolis,USA,,Tesseract,ANCIIENTS,The Broken Are Crowned,,,,,,,,,,,,,
,9/9/2013,First Avenue,Minneapolis,USA,No opener on bands in town,CHVRCHES,,,,,,,,,,,,,,,
y,7/23/2013,Triple Rock Social Club,Minneapolis,USA,,Amaranthe,Kobra and the Lotus,,,,,,,,,,,,,,
y,5/13/2013,Cedar Cultural Center,Minneapolis,USA,,Of Montreal,Wild Moccasins,,,,,,,,,,,,,,
y,3/27/2013,First Avenue,Minneapolis,USA,,Of Montreal,Loney,Dear,Kishi Bashi,,,,,,,,,,,,
y,3/7/2013,Target Center,Minneapolis,USA,,Muse,Dead Sara,,,,,,,,,,,,,,
y,2/24/2013,Mill City Nights,Minneapolis,USA,,Meshuggah,Animals as Leaders,Intronaut,,,,,,,,,,,,,
y,11/2/2012,First Avenue,Minneapolis,USA,,Sleigh Bells,Araab Muzik,,,,,,,,,,,,,,
y,10/18/2012,State Theatre,Minneapolis,USA,,Regina Spektor,,,,,,,,,,,,,,,
y,4/17/2012,First Avenue,Minneapolis,USA,,Buckethead,That 1 Guy,Wolff & Tuba,,,,,,,,,,,,,
y,9/17/2011,Orchestra Hall,Minneapolis,USA,,Ben Folds,,,,,,,,,,,,,,,
y,11/14/2009,State Theatre,Minneapolis,USA,,Wolfmother,Heartless Bastards,,,,,,,,,,,,,,
y,5/3/2009,Northrop Auditorium,Minneapolis,USA,,Flight of the Conchords,,,,,,,,,,,,,,,
y,9/19/2007,State Theatre,Minneapolis,USA,Where the Wild Things are recorded,Steve Vai,,,,,,,,,,,,,,,
,8/25/2007,First Avenue,Minneapolis,USA,,Queens of the Stone Age,Cage the Elephant?,,,,,,,,,,,,,,
,,Excel Energy Center,St. Paul,USA,,Muse,Passion Pit,,,,,,,,,,,,,,
,,State Theatre,Minneapolis,USA,,Joe Satriani,Mountain,,,,,,,,,,,,,,
,,Excel Energy Center,St. Paul,USA,,Rush,,,,,,,,,,,,,,,
,,Excel Energy Center,St. Paul,USA,,Queen,,,,,,,,,,,,,,,
,,The Myth,????,USA,,Relient K,,,,,,,,,,,,,,,
,,First Avenue,Minneapolis,USA,,Tapes Tapes Tapes,,,,,,,,,,,,,,,